*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=HighVoltageAmplifier
*Date=10:32:58
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
102;100nF;0805 [SMD, multilayer];40.1442;-53.2872;0;Bottom;C135
103;220;0805 [SMD];89.6741;-31.6971;180;Top;R5
104;;;21.7799;-65.6887;0;Bottom;Via247
105;220;0805 [SMD];83.0791;-21.6096;-90;Top;R1
106;;;70.994;-26.287;0;Bottom;Via173
107;;;61.3205;-11.3244;-6.36109e-15;Top;blkr17
108;4.7µF;1206 [SMD, multilayer];90.6618;-18.3622;0;Top;C1
109;220;0805 [SMD];21.7799;-62.7587;90;Top;R5
110;;;13.2291;-38.3647;0;Bottom;Via106
111;;;69.6722;-40.2719;0;Bottom;Copper Fill105
112;;;48.1998;-66.9714;0;Bottom;Via261
113;100nF;0805 [SMD, multilayer];12.5216;-30.4271;180;Top;CBUF
114;;;71.5935;-18.6752;0;Bottom;Via165
115;;;57.6834;-3.4927;0;Bottom;Copper Fill40
116;;;69.1005;-40.2333;0;Bottom;Via17
117;;;98.8949;-17.7294;0;Bottom;Copper Fill37
118;;;50.9397;-65.075;0;Bottom;Copper Fill59
119;;;76.074;-28.192;0;Bottom;Via218
120;;;93.2391;-69.4796;0;Bottom;Via234
121;;;89.7466;-91.7047;0;Bottom;Via180
122;;THT;100.224;-42.8097;180;Bottom;Power Supply
123;;;62.092;-84.0869;0;Bottom;Via286
124;;;72.5424;-9.2331;0;Bottom;Copper Fill113
125;100nF;0805 [SMD, multilayer];40.1442;-57.7321;0;Bottom;C137
126;;;40.4368;-40.3227;0;Bottom;Copper Fill248
127;;;69.0753;-40.8942;0;Bottom;Copper Fill103
128;;;59.5376;-11.354;0;Bottom;Copper Fill30
129;;;36.7242;-59.9547;0;Bottom;Via241
130;1M;0805 [SMD];14.4991;-7.00464;-90;Bottom;R46
131;;;4.1148;-85.8522;0;Bottom;Copper Fill126
132;;;93.4974;-47.2823;0;Bottom;Copper Fill60
133;100nF;0805 [SMD, multilayer];91.8966;-47.2546;0;Bottom;C94
134;;;18.3091;-23.1247;0;Bottom;Via154
135;;THT;100.859;-73.9246;-90;Bottom;J14
136;;;75.3872;-14.9227;0;Bottom;Copper Fill254
137;;;84.0316;-14.5522;0;Bottom;Via217
138;;;56.3626;-27.3052;0;Bottom;Copper Fill187
139;;;65.9268;-38.9718;0;Bottom;Via255
140;100nF;0805 [SMD, multilayer];64.254;-14.8569;180;Top;CBUF
141;;;18.7706;-95.555;0;Bottom;Copper Fill119
142;;;56.9722;-40.2719;0;Bottom;Copper Fill242
143;;;66.5226;-9.2331;0;Bottom;Copper Fill115
144;4.7µF;1206 [SMD, multilayer];87.2441;-69.1621;180;Top;C1
145;;;61.4805;-51.0284;0;Bottom;Via24
146;;;21.4841;-59.6372;0;Bottom;Via295
147;;;10.3789;-33.013;0;Bottom;Via137
148;;;48.7934;-45.771;0;Bottom;Copper Fill17
149;;;17.6808;-25.6828;0;Bottom;Via153
150;adjustable;sot223;66.6455;-69.2148;-90;Top;T2
151;;;73.5076;-56.5279;0;Bottom;Copper Fill89
152;0.47µF;0805 [SMD, multilayer];89.8192;-57.0971;180;Top;C2
153;220;0805 [SMD];53.8691;-8.98471;-90;Top;R8
154;;;29.8704;-95.4788;0;Bottom;Copper Fill120
155;;;97.2592;-86.2347;0;Bottom;C101
156;;;89.1342;-42.9799;0;Top;blkr41
157;100nF;0805 [SMD, multilayer];59.5117;-92.3397;0;Bottom;C147
158;;;90.6018;-43.0278;0;Bottom;Copper Fill26
159;;;96.4141;-65.3522;0;Bottom;Via233
160;;;63.3942;-65.6697;0;Bottom;Via18
161;220;0805 [SMD];95.7791;-55.5821;-90;Top;R3
162;;;29.7434;-23.8762;0;Bottom;Copper Fill22
163;;Melf DO-213 AA [SMD];22.3909;-97.7561;180;Top;D1
164;;;91.0166;-25.6647;0;Bottom;Via239
165;;;39.8145;-39.7258;0;Bottom;Copper Fill247
166;;;28.7867;-97.7372;0;Bottom;Via264
167;;;63.5769;-14.538;90;Bottom;blkr24
168;1M;0805 [SMD];11.9591;-7.00464;-90;Bottom;R44
169;;Melf DO-213 AA [SMD];22.1003;-51.019;90;Top;D1
170;;;25.6032;-7.4932;0;Bottom;Copper Fill215
171;;;58.9153;-51.0542;0;Bottom;Copper Fill238
172;;;58.9405;-50.3934;0;Bottom;Via13
173;;;47.2815;-33.5513;-45;Bottom;blkr32
174;;;102.438;-21.2727;0;Bottom;Copper Fill38
175;;;93.091;-62.9668;0;Bottom;Copper Fill142
176;;;1.16407;-60.9072;0;Bottom;Via104
177;;;89.7466;-80.9097;0;Bottom;Via184
178;220;0805 [SMD];40.5341;-8.98471;-90;Top;R8
179;;;30.0736;-32.3598;0;Bottom;Copper Fill21
180;;;93.4974;-40.6275;0;Bottom;Copper Fill80
181;;;34.0868;-11.5572;0;Bottom;Copper Fill210
182;;;58.3345;-3.44284;0;Bottom;Via164
183;;;74.4474;-9.2331;0;Bottom;Copper Fill251
184;;;9.71681;-16.7903;0;Bottom;Via151
185;;;32.3342;-44.0184;0;Bottom;Copper Fill165
186;220;0805 [SMD];28.0574;-42.5112;180;Top;R4
187;;;89.3572;-12.3827;0;Bottom;Copper Fill102
188;;;56.3881;-27.0624;0;Bottom;IMG5
189;;;4.97407;-60.9072;0;Bottom;Via105
190;100nF;0805 [SMD, multilayer];54.4317;-96.7847;0;Bottom;C146
191;;;58.2549;-29.2102;0;Bottom;Copper Fill225
192;;;18.7198;-64.694;0;Bottom;Copper Fill140
193;;;4.97407;-32.9672;0;Bottom;Via136
194;;;55.3974;-16.8531;0;Bottom;Copper Fill43
195;0;0805 [SMD];89.9916;-15.5046;180;Top;R4
196;220;0805 [SMD];72.2755;-69.0534;90;Top;R6
197;;;35.5909;-34.8909;90;Top;blkr6
198;100nF;0805 [SMD, multilayer];35.0642;-55.5096;0;Bottom;C133
199;1M;0805 [SMD];24.6592;-7.00464;-90;Bottom;R7
200;;;6.0198;-63.1446;0;Bottom;Copper Fill12
201;adjustable;sot223;45.7031;-91.1545;180;Top;T1
202;;;88.7941;-12.3297;0;Bottom;Via238
203;;Melf DO-213 AA [SMD];95.1631;-61.195;-90;Top;D1
